144120355635913,Okey Plus,500000,169,yes,yes,email ads_management publish_actions public_profile installed 
8725050364,JibJab,50000,615,yes,yes,user_photos email ads_management publish_actions public_profile installed 
52254943976,Disqus,50000,790,yes,yes,email ads_management public_profile installed 
284597785309,Strava,100000,264,yes,yes,user_birthday user_location email ads_management publish_actions public_profile installed 
28218816837,Eventbrite,100000,425,yes,yes,create_event email ads_management manage_pages publish_pages publish_actions public_profile installed 
84697719333,Nike,100000,374,yes,yes,user_birthday user_location email ads_management publish_actions public_profile installed 
62181482841,GSN Casino,500000,152,yes,yes,user_games_activity email ads_management public_profile installed 
204070852982419,CJ E&M,100000,387,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
86734274142,Foursquare,100000,465,yes,yes,user_birthday user_location email ads_management manage_pages publish_pages publish_actions public_profile installed 
2403839689,Meetup,100000,329,yes,yes,email ads_management public_profile installed 
143103275748075,Sweepstakes,100000,424,yes,yes,user_birthday user_location email ads_management publish_actions public_profile installed 
106920676011663,Fitbit,100000,337,yes,yes,email ads_management public_profile installed 
123743911011091,Issuu,500000,142,yes,yes,user_birthday user_location email ads_management public_profile installed 
10754253724,iPhoto ,100000,411,yes,yes,user_photos share_item status_update user_location email user_website read_friendlists export_stream friends_work_history friends_subscriptions friends_birthday friends_online_presence friends_education_history public_profile sms friends_interests installed publish_checkins manage_friendlists video_upload user_work_history create_event create_note friends_hometown user_relationship_details xmpp_login user_online_presence friends_likes basic_info user_questions user_events user_hometown manage_pages user_subscriptions friends_notes friends_location user_photo_video_tags friends_religion_politics read_requests user_status friends_games_activity read_insights user_birthday user_groups user_notes user_friends user_relationships friends_status publish_stream user_checkins friends_activities friends_relationships friends_questions user_likes friends_relationship_details ads_management user_activities rsvp_event friends_checkins read_stream friends_photo_video_tags read_page_mailboxes photo_upload read_mailbox friends_website user_religion_politics publish_actions user_about_me friends_videos user_interests user_games_activity friends_photos friends_events friends_about_me user_videos user_education_history manage_notifications friends_groups
100107953487314,Pengle,100000,201,yes,yes,email ads_management publish_actions public_profile installed 
171373592926306,YouNow,100000,295,yes,yes,email ads_management manage_pages publish_pages publish_actions public_profile installed 
271493726217323,Social Wars,100000,529,yes,yes,email ads_management publish_actions public_profile installed 
505569762793757,Indian Rummy,100000,200,yes,yes,email ads_management public_profile installed 
202423869273,Endomondo Sports Tracker,100000,249,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
2498397125,ReverbNation,100000,306,yes,yes,user_birthday user_location user_likes user_photos rsvp_event email ads_management read_insights manage_pages publish_pages publish_actions public_profile installed 
180347063770,Venmo,100000,328,yes,yes,user_birthday user_location email ads_management publish_actions public_profile installed 
103730181618,Skout,100000,274,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
48187595837,LivingSocial,50000,640,yes,yes,user_location user_likes email ads_management public_profile installed 
226681500790782,Township,500000,150,yes,yes,email ads_management publish_actions public_profile installed 
217116108329566,PicCollage,100000,456,yes,yes,user_photos email ads_management publish_actions public_profile installed 
183319479511,Hootsuite,100000,178,yes,yes,user_likes user_activities user_events user_photos user_videos user_about_me user_status read_page_mailboxes email ads_management read_insights manage_pages publish_pages publish_actions read_friendlists public_profile installed 
187616458022324,Hot or Not,100000,331,yes,yes,user_birthday user_location user_likes user_education_history user_work_history user_photos email ads_management publish_actions public_profile installed 
100495476683973,Social Empires,50000,605,yes,yes,email ads_management publish_actions public_profile installed 
167746316127,Zoo World,500000,153,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
286682971437638,Kitchen Scramble,100000,354,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
420980821284758,Zombie Tsunami,100000,394,yes,yes,user_likes user_games_activity email ads_management publish_actions public_profile installed 
413003698745607,Hungry Shark Evolution,100000,419,yes,yes,email ads_management publish_actions public_profile installed 
340466706066237,BeeTalk,50000,551,yes,yes,user_birthday user_relationships user_location user_activities user_education_history user_work_history user_photos user_about_me email ads_management publish_actions public_profile installed 
278692755549138,Jetpack Joyride,50000,581,yes,yes,email ads_management publish_actions public_profile installed 
49631911630,Mixcloud,100000,448,yes,yes,email ads_management manage_pages publish_pages publish_actions public_profile installed 
117787264903013,Indiatimes,100000,392,yes,yes,user_birthday user_hometown user_location user_education_history user_work_history email ads_management publish_actions public_profile installed 
565561836797777,Sync.ME,100000,208,yes,yes,user_photos email ads_management public_profile installed 
187960271237149,Detik.com,100000,332,yes,yes,email ads_management public_profile installed 
58430649062,İzlesene,10000,897,yes,yes,user_birthday email ads_management public_profile installed 
192161334139408,Magisto,50000,558,yes,yes,user_activities user_photos user_videos user_about_me email ads_management publish_actions public_profile installed 
182424375109898,Myntra,100000,370,yes,yes,user_birthday user_location email ads_management public_profile installed 
186712578038225,Marketland,100000,515,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
125664117508,Path,100000,278,yes,yes,email ads_management publish_actions public_profile installed 
114611681929998,Nextdoor,100000,420,yes,yes,email ads_management public_profile installed 
183019041719404,Gaana.com,100000,482,yes,yes,user_birthday user_likes email ads_management public_profile installed 
183662791755899,Ipsy,100000,395,yes,yes,user_birthday user_hometown user_location user_likes user_interests user_education_history user_work_history email ads_management publish_actions public_profile installed
